strike,window,trigger_rate,payout_frequency,premium_to_cap,shortfall_rate,overpay_rate,basis_risk_rmse,mae_full,mae_flat,mae_improvement_pct
55.0,14,1.0,0.07119386637458927,0.8957970106193389,0.0,1.0,45.208770592117205,3.7797958436897874,5.697282871313459,33.656166824337646
60.0,14,1.0,0.07119386637458927,0.8840114360218394,0.0,1.0,44.11042580394264,4.269355747244918,5.8454650496731375,26.962941169519965
65.0,14,1.0,0.07119386637458927,0.8687434925198293,0.0,1.0,42.70695877105842,4.897204264248868,6.168279460675942,20.60664087174457
70.0,14,1.0,0.07119386637458927,0.8502204897861645,0.0,1.0,40.852501809978385,5.7598812979368255,6.682981282494189,13.812697440517873
75.0,14,1.0,0.07119386637458927,0.8258745228174569,0.0,1.0,38.29350234320042,6.995260714545722,7.508795625591123,6.839111578629139
80.0,14,1.0,0.07119386637458927,0.7901116523122275,0.0,1.0,34.55579774782779,8.873777601955204,8.852813567453985,-0.23680646092322605
85.0,14,1.0,0.07119386637458927,0.7392287567037459,0.0,1.0,28.711004479783952,12.175100317324924,11.247574115346307,-8.24645556869984
90.0,14,0.9807692307692307,0.06982475355969332,0.6586058460438383,0.0,0.8096933187294633,19.987869292369155,18.94760971308879,16.12010429076954,-17.540242738617373
95.0,14,0.4076923076923077,0.029025191675794086,0.4834258851914947,0.0,0.21412924424972618,11.725687778715061,15.116332895812638,19.924387761347084,24.131506187918994
96.0,14,0.3346153846153846,0.023822562979189485,0.43301902334064674,0.0032797858099062917,0.14368991115979068,10.024109520224654,15.370025313132842,21.64593972784221,28.993494824514084
97.0,14,0.27307692307692305,0.019441401971522453,0.36457119847248426,0.021425094316660582,0.09891079469392722,8.179600138239406,16.445238142925703,22.7456456936441,27.699400736198683
98.0,14,0.19615384615384615,0.013964950711938665,0.27444495181412343,0.0496288183035171,0.059462090787391994,6.035771201841137,18.149444454296116,24.66267621831032,26.409265995142018
99.0,14,0.12692307692307692,0.009036144578313253,0.16352102856959339,0.0836497505172204,0.02188146525495923,3.511110623991971,17.28947378000983,20.959096458629197,17.508496541646128
99.2,14,0.09615384615384616,0.006845564074479737,0.13702542874552287,0.08969818668613849,0.01572350006084946,2.951202905988513,17.67764301968546,21.853835918483203,19.109656146295432
99.4,14,0.06538461538461539,0.004654983570646221,0.11066126389980618,0.09555190458804917,0.009723743458683218,2.365702365681185,18.99272431228133,22.745257163930788,16.49808935816382
99.5,14,0.05384615384615385,0.0038335158817086527,0.0969334401901748,0.09746866252890349,0.0078069855178288915,2.0313823732634106,19.119190298502524,22.09635789762594,13.473567059860514
99.6,14,0.03461538461538462,0.0024644030668127055,0.0816079921110973,0.09896555920652306,0.006310088840209322,1.6522204348722735,24.697654048132122,28.018884537835497,11.853542867556087
99.7,14,0.03461538461538462,0.0024644030668127055,0.06402724694376989,0.10172812461969089,0.0034745040769137156,1.2932286955683663,17.26540711639499,19.951552717113234,13.463341118379383
99.8,14,0.015384615384615385,0.001095290251916758,0.044551453452295116,0.10380309115248874,0.0013995375441158574,1.0251550485280965,19.468842355771837,21.517048632684354,9.518992645679553
99.9,14,0.0038461538461538464,0.0002738225629791895,0.024622826544049042,0.10506267494219301,0.00013995375441158573,0.926214210554676,7.116829086703063,8.417788061805092,15.45487918619627
55.0,30,1.0,0.03313253012048193,0.9443482204195547,0.0,1.0,45.208770592117205,4.344868980916542,5.778411742343724,24.808594910644718
60.0,30,1.0,0.03313253012048193,0.9365611202842473,0.0,1.0,44.11042580394264,4.870462095697263,5.869858390102973,17.02590127371331
65.0,30,1.0,0.03313253012048193,0.9298091040526244,0.0,1.0,42.70695877105842,5.6149678944703325,6.122901891460921,8.29564160907036
70.0,30,1.0,0.03313253012048193,0.9178638598783778,0.0,1.0,40.852501809978385,6.545592398432609,6.655822591835247,1.6561468080272856
75.0,30,1.0,0.03313253012048193,0.9035156002705194,0.0,1.0,38.29350234320042,7.899404617181712,7.4989347794272465,-5.340356324382543
80.0,30,1.0,0.03313253012048193,0.8857875756969082,0.0,1.0,34.55579774782779,10.018661655289844,8.897742218024526,-12.597796270099002
85.0,30,1.0,0.03313253012048193,0.8530341079720503,0.0,1.0,28.711004479783952,13.479885428745337,11.380814702939345,-18.443940795063305
90.0,30,0.9917355371900827,0.03285870755750274,0.8000808067698953,0.0,0.8096933187294633,19.987869292369155,20.5215533680925,16.52975925209962,-24.14913644604861
95.0,30,0.4793388429752066,0.01588170865279299,0.6761257804830946,0.0,0.21412924424972618,11.725687778715061,14.625755467904456,19.69999403157783,25.757563964434173
96.0,30,0.4132231404958678,0.013691128148959474,0.6260964896818855,0.0032797858099062917,0.14368991115979068,10.024109520224654,14.563489371536534,21.27738589155137,31.554141820968372
97.0,30,0.34710743801652894,0.011500547645125958,0.5562195049989048,0.021425094316660582,0.09891079469392722,8.179600138239406,14.50606761780631,22.678146755385324,36.03503948416071
98.0,30,0.2644628099173554,0.008762322015334063,0.4551403322534469,0.0496288183035171,0.059462090787391994,6.035771201841137,13.963120452192483,24.851894730608773,43.814664420758064
99.0,30,0.18181818181818182,0.006024096385542169,0.2973455014384974,0.0836497505172204,0.02188146525495923,3.511110623991971,16.065407982219796,22.248732020799523,27.791804192702596
99.2,30,0.14049586776859505,0.004654983570646221,0.25679708616442704,0.08969818668613849,0.01572350006084946,2.951202905988513,17.866164239466826,24.48076102193461,27.019571722223617
99.4,30,0.10743801652892562,0.0035596933187294635,0.2066499671516364,0.09555190458804917,0.009723743458683218,2.365702365681185,20.475899876552894,25.675895086873375,20.25243985740907
99.5,30,0.08264462809917356,0.002738225629791895,0.18090316541885468,0.09746866252890349,0.0078069855178288915,2.0313823732634106,22.374270935886916,29.26831089104154,23.55462185986536
99.6,30,0.08264462809917356,0.002738225629791895,0.15167797585832762,0.09896555920652306,0.006310088840209322,1.6522204348722735,19.171017065046847,24.247206795620464,20.935152545036566
99.7,30,0.0743801652892562,0.0024644030668127055,0.12018527705486466,0.10172812461969089,0.0034745040769137156,1.2932286955683663,14.618923081986159,19.04430134678469,23.237283343795024
