strike,window,trigger_rate,payout_frequency,premium_to_cap,shortfall_rate,overpay_rate,basis_risk_rmse,mae_full,mae_flat,mae_improvement_pct
55,14,0.8423076923076923,0.059967141292442495,0.8316161252524241,0.020414993306559572,0.5453024218084459,20.761923481655778,20.078566418817232,17.612182663206045,-14.0038506457451
60,14,0.6807692307692308,0.048466593647316536,0.8130950356590492,0.05669648290130218,0.4603033345503225,19.612104206457033,16.656004653921,17.92009048536865,7.0540147801136905
65,14,0.5692307692307692,0.040525739320920046,0.7886512350616087,0.09474260679079956,0.40931909456005844,18.367413645856406,13.546874448945596,18.576039708657223,27.073398520825847
70,14,0.5269230769230769,0.03751369112814896,0.7591025703604825,0.13208896190823902,0.3662681027138858,16.968287885490028,13.377317567146756,19.592344633915967,31.72171163225909
75,14,0.46923076923076923,0.033406352683461114,0.726592105269558,0.17105543385663868,0.32549896555920654,15.342610531561668,12.495697589887136,20.558799501854292,39.21971178929931
80,14,0.4115384615384615,0.029299014238773274,0.6781674883940533,0.21999361080686383,0.27589905074844834,13.411521131827861,11.57598159495791,21.23141601501371,45.47711002049039
85,14,0.3730769230769231,0.02656078860898138,0.6056661567009695,0.274324571011318,0.2213855421686747,11.06530499779839,12.54283439676493,21.34901683944417,41.24865565897654
90,14,0.31153846153846154,0.02217962760131435,0.5087914239772581,0.3574601436047219,0.13813587684069611,8.364392192970962,13.345724662229886,21.970340207948833,39.25572141390226
95,14,0.2,0.014238773274917854,0.3428914830719748,0.45100857977364,0.04458744067177802,5.875844093890438,13.73416363731626,20.1377144489924,31.798796372328862
96,14,0.15,0.01067907995618839,0.2953735551759012,0.4675368139223561,0.028059206523061944,5.633691643517961,14.790296546922665,22.238594319055448,33.49266444305162
97,14,0.11153846153846154,0.007940854326396496,0.23749033089396843,0.4792807594012413,0.01631526104417671,5.459733416456405,16.051512461474935,22.456905375210464,28.52304361048009
98,14,0.07307692307692308,0.0052026286966046,0.17278529176420376,0.4874041621029573,0.008191858342460752,5.338755911479775,18.04723515897854,22.26176625277564,18.93170131220663
99,14,0.03076923076923077,0.002190580503833516,0.10071326135117303,0.4922645125958379,0.003331507849580139,5.251268306456057,23.375144745546937,27.86645295760842,16.117258335296007
55,30,0.9504132231404959,0.03148959474260679,0.9115299564937949,0.020414993306559572,0.5453024218084459,20.761923481655778,22.577387637672466,18.40486864974426,-22.670734941573112
60,30,0.768595041322314,0.02546549835706462,0.9009780948035518,0.05669648290130218,0.4603033345503225,19.612104206457033,18.849013965404318,18.253715094899455,-3.2612477372959763
